chemicalComposition,Equation,sites,reactionEnergy,facet
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.032543974999996,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",4.758305875000005,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",3.8949153749999965,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.9283819749999935,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",4.384757280000002,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.649028079999994,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 5.0H2(g) + * -> C3H8O3*,"{""C3H8O3star"": ""0a""}",3.7210339700000077,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2c""}",4.586837579999994,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2d""}",6.080400879999999,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2a""}",4.358703179999992,111
Cu64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2f""}",5.514539380000002,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1d""}",4.456637454999992,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1a""}",3.978069154999986,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1c""}",4.385906754999979,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 5.5H2(g) + * -> C3H7O3*,"{""C3H7O3star"": ""1b""}",4.096573154999987,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2i""}",5.281892959999993,111
Pd64,3.0CH4(g) + 3.0H2O(g) - 6.0H2(g) + * -> C3H6O3*,"{""C3H6O3star"": ""2b""}",4.2933243599999855,111
