paperId,title,abstract,year,referenceCount,citationCount,influentialCitationCount,year0_citation_count,year1_citation_count,year2_citation_count,year3_citation_count,year4_citation_count,year5_citation_count,year6_citation_count,year7_citation_count,year8_citation_count,year9_citation_count
841f7e13672623210582ac5f89e9b500a55c3219,Spin-dependent holed delocalization enhancement by bandfilling effects in degenerate asymmetric double quantum wells,"We studied the wavefunctions and energy positions of the confined states in the valance band in an asymmetric double quantum well. We found these to be extremely sensitive to both the carrier density and the height of the confining barriers, which allows us to control the so-called ‘Spin Dependent Hole Delocalization’. The theoretical results are shown to be in excellent agreement with experiments.",1997,0,0,0,0,0,0,0,0,0,0,0,0,0
20a2ef7bf5b78485f6aae1ada05d644ed4fa5802,Creutzfeldt-Jacob disease associated with the PRNP codon 200LYS mutation: An analysis of 45 families,"Abstract200Lys mutation in the human PRNP coding region has been identified in 45 of the 55 CJ-Daffected families thus far presented to our NIH laboratory. These codon 200lys families have a total of 87 patients, and originate from 7 different countries: Slovakia, Poland, Germany, Tunisia, Greece, Libya, and Chile. Forty-seven patients were neuropathologically verified, and brain tissue from 14 patients transmitted disease to experimental primates.The mutation was found by direct sequencing in 4 patients, and it was detected by restriction endonuclease analysis with BsmA 1 and/or the single nucleotide extension reaction in 36 other patients and 45 of 109 first degree relatives (1 parent, 14 siblings, and 30 children).The mutation is associated with all known geographical clusters of CJD (Slovakia, Libyan Jews, Chile) in which the annual mortality rate is tens or hundreds of times higher than the world average of 1 per million. All patients originating from the cluster areas carried the mutation, but it was seen in only 1 of 103 unrelated control individuals from the same areas, and in none of 102 controls from other areas, indicating a strong association between the mutation and disease. The penetrance of the mutation was estimated to be 0.56.Branches of some families migrating from cluster areas to other countries continue to have CJD over several generations, suggesting that CJD in these families is a genetic disorder, in which the 200Lys mutation is responsible for the disease.",1991,29,69,2,3,0,0,1,0,0,0,0,0,1
9751494dec143da2a11d55818bedb100d4a0eead,Purification of two forms of arachidonate 15-lipoxygenase from human leukocytes.,"Two different proteins with arachidonate 15-lipoxygenase activity have been purified to near homogeneity from human leukocytes. Both have the same molecular mass (74 kDa) on SDS/PAGE and appear to be equally active with three different fatty acid substrates. The N-terminal amino acid sequences of both forms were identical to the sequence of human reticulocyte 15-lipoxygenase [Sigal, E., Craik, C.S., Highland, E., Grunberger, D., Costello, L.L., Dixon, R.A.F. & Nadel, J.A. (1988) Biochem. Biophys. Res. Commun. 157, 457-464]. The two forms of 15-lipoxygenase could be clearly separated by cation-exchange chromatography. Of particular interest, the relative amounts of the two forms differed markedly between leukocytes obtained from normal donors and leukocytes from an individual with eosinophilia.",1991,26,15,0,0,0,2,1,1,2,0,0,2,2
af911700bb9e6dc8ff34c24316c0cfac2fd9007a,"Preparative use of blue solutions of ruthenium(II): ruthenium-(II) and -(III) complexes with amines, nitriles, phosphines, etc.","The use of a blue solution of RuII in methanol as a starting material for the preparation of ruthenium complexes has been investigated, with various ligands, e. g. amines, nitriles, azobenzene, thiols, tertiary phosphines, and carbon monoxide, and olefins; some 28 new complexes have been characterised.",1970,0,47,0,0,1,3,3,0,2,0,0,3,1
402783f33e0cb2de861e4352e3a9f09d81ae48ae,Influence of Interchain Electron Hopping on Commensurate One-Dimensional Conductors,"It is shown that electron tunneling between chains in the crystalline form of quasi-1-D conductor like polyacetylene, (CH)x, may result in the instability of the Peierls structure at high enough values of the hopping integrals. The instability leads to the formation of a superstructure which can be described as a periodic array of soliton walls perpendicular to the chain axis.",1982,7,16,0,0,0,0,4,1,1,0,1,1,0
1e5196f9f6f1f129d9063514104b4aa7fa9b6b1a,Structural and Optical Properties of Nitride-Based Heterostructure and Quantum-Well Structure,,1996,23,37,0,0,0,6,10,6,1,2,2,0,1
0e7dfd0c8ee194347b4d1fd68e6a995f7b03c208,The Heat of Hydration of Sodium Sulfate. Low Temperature Heat Capacity and Entropy of Sodium Sulfate Decahydrate1,,1958,0,46,3,2,0,0,1,0,0,0,1,1,0
e69ac9d03f33f048888c173143e430a742a8f5c0,Interrelationships of Lipid and Carbohydrate Metabolism,,1952,0,18,0,0,4,3,4,2,0,1,1,0,0
777b2d6f248615e700e34f7969e00f4d79bd662d,THE CHARACTER OF THE EQUILIBRIUM OF AN INCOMPRESSIBLE FLUID SPHERE OF VARIABLE DENSITY AND VISCOSITY SUBJECT TO RADIAL ACCELERATION,"This paper is devoted to a consideration of the following problem: An incompressible fluid sphere, in which the density and the viscosity are functions of the distance r from the centre only, is subject to a radial acceleration -γr, where γ is a function of r: to determine the manner of initial development of an infinitesimal disturbance. By analysing the disturbance in spherical harmonics, the mathematical problem is reduced to one in characteristic values in a fourth-order differential equation and a variational principle characterizing the solution is enunciated. The particular case of a sphere of radius R and density p 1 embedded in a medium of a different density p 2 (but of the same kinematic viscosity v) is considered in some detail; and it is shown that the character of the equilibrium depends on the sign of γR(p 2 -p 1 ) and the magnitude of = γ R R 4 /v 2 . If γ R (p 2 -p 1 ) > 0, the situation is unstable and the mode of maximum instability is l = 1 for all R (p 2 -p 1 ) > 0 the results of both an exact calculation and an approximate calculation (based on the variational principle) are given and contrasted. In the case γ R (p 2 -p 1 ) < 0 when the situation is stable, the manner of decay of the disturbance is briefly discussed in terms of an approximate theory only.",1955,0,19,1,0,0,0,0,0,0,0,0,0,0
0dcf2cb5446748173a5315899d7911195cd3bb10,Computer-aided rational molecular design of argifin-derivatives with increased inhibitory activity against chitinase B from Serratia marcescens.,,2009,23,11,0,2,2,2,1,0,0,1,1,0,0
