Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,C,4360473.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4360473&database=RX&origin=ReaxysOutput&ln=,(12 of 4000),7440-44-0,pyrographite; active carbon; diamond; carbon,C,C,12.011,acyclic; Glass or Ceramic material; Isotope or isotope containing compound,,VNWKTOKETHGBQD-UHFFFAOYSA-N,,,,Identification(74232); Physical Data(2541); Spectra(283); Bioactivity(4394),7801.0,86027.0,53.93,,,,,,"Article; Han, Jie; Liu, Songyang; RSC Advances; vol. 7; 36; (2017); p. 22170 - 22177;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D71540377&database=RX&origin=ReaxysOutput&ln=
,N,14680594.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D14680594&database=RX&origin=ReaxysOutput&ln=,(13 of 4000),,nitrogen,N,N,14.0067,Isotope or isotope containing compound,,QGZKDVFQNNGYKY-UHFFFAOYSA-N,,,,Identification(132); Physical Data(206); Spectra(29); Bioactivity(74),334.0,1455.0,-210,,,,,,"Article; Volchenkova, R. A.; Russian Journal of Physical Chemistry; vol. 59; 11; (1985); p. 1705 - 1706; Zhurnal Fizicheskoi Khimii; vol. 59; 11; (1985); p. 2851 - 2852; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5882235&database=RX&origin=ReaxysOutput&ln=
,O,6133474.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6133474&database=RX&origin=ReaxysOutput&ln=,(14 of 4000),,oxygen,O,O,15.9994,,,XLYOFNOQVPJJNP-UHFFFAOYSA-N,,,,Identification(344); Physical Data(715); Spectra(23); Bioactivity(167),737.0,3316.0,-218.6,,,,,,"Article; Volchenkova, R. A.; Russian Journal of Physical Chemistry; vol. 59; 11; (1985); p. 1705 - 1706; Zhurnal Fizicheskoi Khimii; vol. 59; 11; (1985); p. 2851 - 2852; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5882235&database=RX&origin=ReaxysOutput&ln=
,[H]N([H])[H],3587154.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587154&database=RX&origin=ReaxysOutput&ln=,(16 of 4000),7664-41-7,ammonia; Ammonia gas; ammoniak,(NH3),H3N,17.0305,Isotope or isotope containing compound,,QGZKDVFQNNGYKY-UHFFFAOYSA-N,,,,Identification(11796); Physical Data(10368); Spectra(469); Bioactivity(2113),25938.0,41730.0,146.94,,,2.21 GPa,,,"Article; Ninet, S.; Datchi, F.; Journal of Chemical Physics; p. 1 - 6; Journal of Chemical Physics; vol. 128; (2008); (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8970973&database=RX&origin=ReaxysOutput&ln=
,[13CH4],1696834.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1696834&database=RX&origin=ReaxysOutput&ln=,(18 of 4000),6532-48-5,Methan-13C,(13)CH4,CH4,17.0318,acyclic,,VNWKTOKETHGBQD-OUBTZVSYSA-N,,,,Identification(14); Physical Data(26); Spectra(41),161.0,226.0,-182.45,,,,,,"Article; Clusius; Endfinger; Schleich; Helvetica Chimica Acta; vol. 43; (1960); p. 1267,1270;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3758468&database=RX&origin=ReaxysOutput&ln=
,C[2H],1730717.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730717&database=RX&origin=ReaxysOutput&ln=,(19 of 4000),676-49-3,Monodeuteromethan; methane-d1; monodeuterated methane,C(1)H3(2)H,CH4,17.0348,acyclic,,VNWKTOKETHGBQD-MICDWDOJSA-N,,,,Identification(41); Physical Data(89); Spectra(87),135.0,344.0,-182.75,,,,,,"Article; Klein et al.; Discussions of the Faraday Society; vol. 48; (1969); p. 93,94;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4179836&database=RX&origin=ReaxysOutput&ln=
,[H]O[H],3587155.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587155&database=RX&origin=ReaxysOutput&ln=,(20 of 4000),7732-18-5,water; dihydrogen oxide; water monomer,(1)H2O,H2O,18.0153,Isotope or isotope containing compound; Glass or Ceramic material; Coordination compound,,XLYOFNOQVPJJNP-UHFFFAOYSA-N,,,,Identification(54377); Physical Data(16422); Spectra(1495); Bioactivity(8872),136978.0,164477.0,376,,,with decomposition,,,"Article; Liu, Ming; Yang, Meixiang; Yao, Yuqing; Zhang, Yingjie; Zhang, Yunqian; Tao, Zhu; Zhu, Qianjiang; Wei, Gang; Bian, Bing; Xiao, Xin; Journal of Materials Chemistry C; vol. 7; 6; (2019); p. 1597 - 1603;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75962022&database=RX&origin=ReaxysOutput&ln=
,[2H]C[2H],1696836.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1696836&database=RX&origin=ReaxysOutput&ln=,(27 of 4000),676-55-1,methane-d2,C(2)H2H2,CH4,18.0269,acyclic,,VNWKTOKETHGBQD-DICFDUPASA-N,,,,Identification(9); Physical Data(48); Spectra(52),98.0,207.0,-182.95,,,,,,"Article; Klein et al.; Discussions of the Faraday Society; vol. 48; (1969); p. 93,94;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4179836&database=RX&origin=ReaxysOutput&ln=
,[H]O[2H],5848716.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D5848716&database=RX&origin=ReaxysOutput&ln=,(30 of 4000),14940-63-7,hydrogen-deuterium oxide; water,(1)HO(2)H,H2O,19.0073,Isotope or isotope containing compound,,XLYOFNOQVPJJNP-DYCDLGHISA-N,,,,Identification(111); Physical Data(113); Spectra(277); Bioactivity(34),97.0,631.0,2.5,,,,,,"Article; Eucken, A.; Schaefer, K.; vol. 1; (1934); p. 109 - 125;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. O: MVol.6; 60, page 1944 - 1946;; ; Article; Eucken, A.; Schaefer, K.; vol. 1; (1934); p. 109 - 125; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7215413&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])[2H],1730721.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730721&database=RX&origin=ReaxysOutput&ln=,(31 of 4000),676-80-2,methane-d3; trideuteromethane,C(1)H(2)H3,CH4,19.0189,acyclic,,VNWKTOKETHGBQD-FIBGUPNXSA-N,,,,Identification(11); Physical Data(53); Spectra(62),88.0,225.0,-183.15,,,,,,"Article; Klein et al.; Discussions of the Faraday Society; vol. 48; (1969); p. 93,94;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4179836&database=RX&origin=ReaxysOutput&ln=
,[2H]O[2H],3587198.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587198&database=RX&origin=ReaxysOutput&ln=,(32 of 4000),7789-20-0,water-d2; deuterated water; deuterium oxide; heavy water; D2O; ice; water,D2O,H2O,19.9994,Isotope or isotope containing compound,,XLYOFNOQVPJJNP-ZSJDYOACSA-N,,,,Identification(274); Physical Data(1706); Spectra(350); Bioactivity(221),3514.0,4021.0,3.84,,,,,,Article; Bordonskii; Krylov; Russian Journal of Physical Chemistry; vol. 75; 5; (2001); p. 834 - 836; (from Gmelin),https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6287507&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])([2H])[2H],1730738.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730738&database=RX&origin=ReaxysOutput&ln=,(37 of 4000),558-20-3,methane,C((2)H)4,CH4,20.011,acyclic,,VNWKTOKETHGBQD-JQYAHLJZSA-N,,,,Identification(25); Physical Data(215); Spectra(70); Bioactivity(1),230.0,650.0,,,,,,,"Article; Chung,C.; Lagow,R.J.; Journal of the Chemical Society. Chemical communications; (1972); p. 1078 - 1079;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D150021&database=RX&origin=ReaxysOutput&ln=
