,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
0,[H].[H].[H].[H].[H].[H].[Li].N.N.N.N,lithium tetraammine,H12LiN4,75.0631,-185,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91D1C0>,"{'C': 0, 'N': 4, 'O': 0, 'S': 0}","{'C': 0, 'N': 4.0, 'O': 0, 'S': 0}",0.0,4.0,0.0,0.0
1,[H]N=N#N.NC(N)=N,guanidine; azide; Guanidin; Azid,CH5N3*HN3,102.099,93.5,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70F3A0>,"{'C': 1, 'N': 6, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 3.666666666666667, 'O': 0, 'S': 0}",0.25,3.666666666666667,0.0,0.0
2,[H]N([H])[H].NC(=N)NC#N,cyano-guanidine; compound with ammonia; Cyan-guanidin; Verbindung mit Ammoniak,C2H4N4*H3N,101.111,49,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70A5E0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 3.333333333333334, 'O': 0, 'S': 0}",0.75,3.333333333333334,0.0,0.0
3,[H]N([H])[H].NC(N)=NC#N,dicyanodiamide*NH3,C2H4N4*H3N,101.111,49,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70A700>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 3.333333333333334, 'O': 0, 'S': 0}",0.75,3.333333333333334,0.0,0.0
4,NC(=N)NC(N)=N,BIGUANIDE; imidodicarbonimidic diamide; biguanid,C2H7N5,101.111,132,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70A580>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.5, 'N': 3.000000000000001, 'O': 0, 'S': 0}",0.5,3.000000000000001,0.0,0.0
5,NN.N#CNC#N,,C2HN3*H4N2,99.0952,97 - 97.5,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE7C0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 1.0, 'N': 3.0, 'O': 0, 'S': 0}",1.0,3.0,0.0,0.0
6,[H]N=N#N.CC(N)=N,acetamidine; azide; Acetamidin; Azid,C2H6N2*HN3,101.111,118 - 119,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70A640>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 1.0, 'N': 3.0, 'O': 0, 'S': 0}",1.0,3.0,0.0,0.0
7,[N-]=[N+]=[N-].[H]N([H])[N+]([H])([H])[H],hydrazinium azide; hydrazine azide,H5N2*N3,75.0732,75,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91D760>,"{'C': 0, 'N': 5, 'O': 0, 'S': 0}","{'C': 0, 'N': 3.0, 'O': 0, 'S': 0}",0.0,3.0,0.0,0.0
8,NC(N)(N)CC#N,"1,1,1-Triamino-2-cyano-ethan",C3H8N4,100.123,59,<rdkit.Chem.rdchem.Mol object at 0x00000203EA705E20>,"{'C': 3, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.0, 'N': 2.666666666666667, 'O': 0, 'S': 0}",1.0,2.666666666666667,0.0,0.0
9,[H]N([H])[H].N#CNC#N,ammonium dicyanamide; dicyanamid; ammonium-(dicyano-amide); Dicyanamid; Ammonium-(dicyan-amid); Dicyanamid; Ammonium-Verbindung,C2HN3*H3N,84.0806,131,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9275E0>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.0, 'N': 2.666666666666667, 'O': 0, 'S': 0}",1.0,2.666666666666667,0.0,0.0
