,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
0,O.O.O.O.S,sulfur tetroxide,O4S,96.0636,3,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93FE80>,"{'C': 0, 'N': 0, 'O': 4, 'S': 1}","{'C': 0, 'N': 0, 'O': 4.0, 'S': 1.0}",0.0,0.0,4.0,1.0
1,O.O.O.[Cr],chromium(VI) oxide; CrO3; chromium trioxide; chromium oxide; chromic anhydride; Jones' reagent; Collins reagent,CrO3,99.9942,199.84,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7015E0>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 3.0, 'S': 0}",0.0,0.0,3.0,0.0
2,[H]O[H].OP(O)(O)=O,orthophosphoric acid * 0.1 H2O,0H2O*H3O4P,99.7967,26.2,<rdkit.Chem.rdchem.Mol object at 0x00000203EA701280>,"{'C': 0, 'N': 0, 'O': 5, 'S': 0}","{'C': 0, 'N': 0, 'O': 3.0, 'S': 0}",0.0,0.0,3.0,0.0
3,B.B.O.O.O,boron trioxide; boron oxide; boric anhydride; boron(III) oxide; boric oxide; diboron trioxide,B2O3,69.6202,-272.437,<rdkit.Chem.rdchem.Mol object at 0x00000203EA918400>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 3.0, 'S': 0}",0.0,0.0,3.0,0.0
4,[Li].B.O.O.[H]O[H],lithium monoborate dihydrate; lithium metaborate dihydrate,2H2O*BLiO2,85.7814,106.84,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92A7C0>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 3.0, 'S': 0}",0.0,0.0,3.0,0.0
5,[Li].N.O.O.O.[K],,K0Li0NO3,87.5971,132.6,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92F2E0>,"{'C': 0, 'N': 1, 'O': 3, 'S': 0}","{'C': 0, 'N': 1.0, 'O': 3.0, 'S': 0}",0.0,1.0,3.0,0.0
6,[Li].N.O.O.O.Cl,,Cl0LiN0O3,87.6688,169.9,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92F340>,"{'C': 0, 'N': 1, 'O': 3, 'S': 0}","{'C': 0, 'N': 1.0, 'O': 3.0, 'S': 0}",0.0,1.0,3.0,0.0
7,CC(O)=O.NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1,decitabine acetate,C2H4O2*0C8H12N4O4,98.8479,206,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FBFA0>,"{'C': 10, 'N': 4, 'O': 6, 'S': 0}","{'C': 3.75, 'N': 1.3333333333333335, 'O': 2.5, 'S': 0}",3.75,1.3333333333333335,2.5,0.0
8,[H]O[H].ON(=O)=O,nitric acid dihydrate,HNO3*2H2O,99.0434,-40.23 - -39.43,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FC460>,"{'C': 0, 'N': 1, 'O': 4, 'S': 0}","{'C': 0, 'N': 0.0, 'O': 2.5, 'S': 0}",0.0,0.0,2.5,0.0
9,[Li+].[H]O[H].[O-][Cl](=O)=O,lithium chlorate*0.33H2O,ClO3*0H2O*Li,96.3372,55,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F2BE0>,"{'C': 0, 'N': 0, 'O': 4, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.5, 'S': 0}",0.0,0.0,2.5,0.0
10,O.ON(=O)=O,nitric acid monohydrate; oxonium nitrate dihydrate; nitric acid hydrate,HNO3*H2O,81.0281,-38,<rdkit.Chem.rdchem.Mol object at 0x00000203EA922D00>,"{'C': 0, 'N': 1, 'O': 4, 'S': 0}","{'C': 0, 'N': 0.0, 'O': 2.5, 'S': 0}",0.0,0.0,2.5,0.0
11,OP(O)(O)=O,phosphoric acid; anhydrous phosphoric acid; Orthophosphoric acid; phosphorous acid,H3O4P,97.9952,42.4,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F64C0>,"{'C': 0, 'N': 0, 'O': 4, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
12,OC(=O)C(O)=O,oxalic acid,C2H2O4,90.0355,189,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9344C0>,"{'C': 2, 'N': 0, 'O': 4, 'S': 0}","{'C': 0.5, 'N': 0, 'O': 2.0, 'S': 0}",0.5,0.0,2.0,0.0
13,O=N(=O)N(=O)=O,dinitrogen tetraoxide; dinitrogen tertoxide; Dinitrogen tetroxide; nitrogen(IV) oxide,N2O4,92.011,-10,<rdkit.Chem.rdchem.Mol object at 0x00000203EA938220>,"{'C': 0, 'N': 2, 'O': 4, 'S': 0}","{'C': 0, 'N': 0.0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
14,[Li].O.O.[Mn].[Co].[Ni],,Co0LiMn0Ni0O2,86.6715,228.2,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92D3A0>,"{'C': 0, 'N': 0, 'O': 2, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
15,[Li+].[H]O[H].CC([O-])=O,lithium acetate dihydrate; lithium acetate,C2H3O2*2H2O*Li,102.016,56 - 58,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70D1C0>,"{'C': 2, 'N': 0, 'O': 3, 'S': 0}","{'C': 1.0, 'N': 0, 'O': 2.0, 'S': 0}",1.0,0.0,2.0,0.0
16,[H+].[O-]C(=O)C([O-])=O,dihydrogen oxalate; oxalic acid; hydrogen Oxalate,C2O4*2H,90.0355,154 - 156,<rdkit.Chem.rdchem.Mol object at 0x00000203EA934520>,"{'C': 2, 'N': 0, 'O': 4, 'S': 0}","{'C': 0.5, 'N': 0, 'O': 2.0, 'S': 0}",0.5,0.0,2.0,0.0
17,[H]O[H].[H]OO[H],hydrogen peroxide dihydrate,2H2O*H2O2,70.0452,-52,<rdkit.Chem.rdchem.Mol object at 0x00000203EA918580>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
