chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Pt38,Ru(g) + * -> Ru*,,-6.0433828324,211
Pt38,Re(g) + * -> Re*,,-6.78900743643,211
Au24Rh,Rh(g) + * -> Rh*,,-3.18649693166,100
PtRh25,Rh(g) + * -> Rh*,,-5.32675604085,100
Au24Rh3,Rh(g) + * -> Rh*,,-4.9183720639,100
AgRh26,Rh(g) + * -> Rh*,,-6.10861777423,111
Cu25,Ir(g) + * -> Ir*,,-5.17069663867,111
Ag36Ir,Ir(g) + * -> Ir*,,-5.24074044448,211
Ag24Ir3,Ir(g) + * -> Ir*,,-6.34820619633,111
Pt26,Rh(g) + * -> Rh*,,-5.52351177004,100
Cu25Pd2,Cu(g) + * -> Cu*,,-3.47104271158,100
Rh38,Pt(g) + * -> Pt*,,-5.73024788698,211
Ag2Ir25,Ag(g) + * -> Ag*,,-2.5436658517,100
Cu25,Re(g) + * -> Re*,,-3.22385394556,111
IrPd24,Pd(g) + * -> Pd*,,-3.40330806391,111
Pt2Rh25,Rh(g) + * -> Rh*,,-5.77920620276,100
Ag36Cu2,Cu(g) + * -> Cu*,,-2.63011077567,211
Ir26,Pd(g) + * -> Pd*,,-4.42492992322,100
Ag2Pt36,Ag(g) + * -> Ag*,,-2.48205587454,211
Au3Rh24,Rh(g) + * -> Rh*,,-5.19415727446,111
Rh24,Cu(g) + * -> Cu*,,-2.98741803046,100
Rh37,Re(g) + * -> Re*,,-6.45323037372,211
Au2Pt36,Pt(g) + * -> Pt*,,-4.97027111409,211
Au24Os2,Os(g) + * -> Os*,,-6.85269513891,100
Au26Pd,Au(g) + * -> Au*,,-2.97524494934,111
AuPt25,Pt(g) + * -> Pt*,,-4.58325685008,100
PdRh36,Pd(g) + * -> Pd*,,-3.47330275319,211
Rh26Ru,Ru(g) + * -> Ru*,,-6.71869947609,100
Rh25,Zn(g) + * -> Zn*,,-1.71923156625,100
Ag24Re3,Re(g) + * -> Re*,,-7.65689435814,111
Ag24Au2,Au(g) + * -> Au*,,-2.94927814501,100
Au24Pd2,Au(g) + * -> Au*,,-3.01947807616,111
Pd26,Os(g) + * -> Os*,,-5.91398514534,111
Rh25Zn,Zn(g) + * -> Zn*,,-2.26342287204,100
Ir26,Rh(g) + * -> Rh*,,-6.17076306739,111
Pd25Rh2,Rh(g) + * -> Rh*,,-5.91272845554,111
CuPd24,Cu(g) + * -> Cu*,,-2.9031814465,111
CuIr25,Cu(g) + * -> Cu*,,-3.72910718794,111
Ag25Ru2,Ag(g) + * -> Ag*,,-3.06425359393,111
Rh26,Ag(g) + * -> Ag*,,-2.77138446354,100
AgPd36,Pd(g) + * -> Pd*,,-3.00180278493,211
Pt25Zn,Pt(g) + * -> Pt*,,-5.14763335721,111
Au3Rh24,Rh(g) + * -> Rh*,,-5.15326278049,100
Ag24Ru,Ag(g) + * -> Ag*,,-1.70764210132,100
Au2Rh24,Au(g) + * -> Au*,,-3.27812991026,100
Au24Cu3,Au(g) + * -> Au*,,-2.63162808248,100
Ir25Pd2,Pd(g) + * -> Pd*,,-4.00109389324,100
Pd25Re2,Pd(g) + * -> Pd*,,-4.16749226113,100
Ag24Re,Ag(g) + * -> Ag*,,-1.72023593848,100
Pt25,Re(g) + * -> Re*,,-5.1386872742,111
Rh24,Re(g) + * -> Re*,,-4.2726732441,111
Au25Ru,Au(g) + * -> Au*,,-3.17002132239,111
Pt24,Ru(g) + * -> Ru*,,-5.08248678432,100
AuPt26,Au(g) + * -> Au*,,-3.22965942652,100
Pt24Re2,Re(g) + * -> Re*,,-7.40966497913,111
Pd24Pt,Pd(g) + * -> Pd*,,-3.24815833838,100
Ag24Os2,Os(g) + * -> Os*,,-5.92064309097,100
Ag26,Pt(g) + * -> Pt*,,-4.55199913208,111
Pt24,Ir(g) + * -> Ir*,,-4.39648470595,111
Pt25Rh2,Rh(g) + * -> Rh*,,-5.39999323875,100
Pt24Re2,Re(g) + * -> Re*,,-8.05411091873,100
Ir24Zn2,Ir(g) + * -> Ir*,,-6.61259745575,100
AuCu37,Cu(g) + * -> Cu*,,-3.29478246157,211
Ir26Rh,Ir(g) + * -> Ir*,,-8.26619727016,111
Ir25Zn,Ir(g) + * -> Ir*,,-7.35807035632,100
Ag26,Re(g) + * -> Re*,,-2.00453742819,111
Rh25,Ru(g) + * -> Ru*,,-5.43366583114,111
Ag25Pd,Pd(g) + * -> Pd*,,-3.150230414,111
Ir24Os,Os(g) + * -> Os*,,-5.56338794595,100
Ag27,Ir(g) + * -> Ir*,,-4.83415956197,100
Pt26Re,Pt(g) + * -> Pt*,,-5.20386500411,100
Ir25Rh,Rh(g) + * -> Rh*,,-6.4474601995,100
OsPd24,Os(g) + * -> Os*,,-3.66304882958,100
Os2Pt24,Pt(g) + * -> Pt*,,-4.95901219946,100
Ag2Rh25,Rh(g) + * -> Rh*,,-5.13629532544,100
Ir24Rh2,Rh(g) + * -> Rh*,,-5.63501021618,100
Au25Zn2,Zn(g) + * -> Zn*,,-0.646845507559,100
Au27,Re(g) + * -> Re*,,-3.16419448048,100
Pt26Ru,Ru(g) + * -> Ru*,,-6.18298689775,100
Ag25Ir,Ag(g) + * -> Ag*,,-2.73850168164,100
Pt25Zn,Zn(g) + * -> Zn*,,-2.0693726348,111
Pt24,Ru(g) + * -> Ru*,,-3.905099746,111
Pt24Zn,Pt(g) + * -> Pt*,,-4.35829332293,100
Pt27,Zn(g) + * -> Zn*,,-2.88634753128,111
Ag25,Cu(g) + * -> Cu*,,-2.58064360694,100
Ag26Re,Ag(g) + * -> Ag*,,-2.80297450061,100
Cu26Re,Re(g) + * -> Re*,,-7.01707278937,100
Pd24Zn3,Pd(g) + * -> Pd*,,-4.0324535859,111
Pd24Ru,Pd(g) + * -> Pd*,,-3.39810041706,100
Ir24Re,Ir(g) + * -> Ir*,,-7.07140079581,100
Rh25,Os(g) + * -> Os*,,-5.46262615993,100
Rh26,Os(g) + * -> Os*,,-6.53927386168,100
Rh37,Ir(g) + * -> Ir*,,-6.30342462404,211
Ir25Rh,Rh(g) + * -> Rh*,,-5.52719680384,100
Pd25Pt2,Pt(g) + * -> Pt*,,-5.88418541334,111
Rh27,Ru(g) + * -> Ru*,,-6.5066605405,100
Cu24Re3,Cu(g) + * -> Cu*,,-4.16911582841,100
Rh24Zn2,Rh(g) + * -> Rh*,,-4.92380019098,100
Ir37Os,Ir(g) + * -> Ir*,,-7.35002082044,211
Pd2Pt25,Pd(g) + * -> Pd*,,-3.47990981353,100
Au2Pt36,Au(g) + * -> Au*,,-3.00152699754,211
Au25Ir,Ir(g) + * -> Ir*,,-4.97342729462,100
Au24Ru,Ru(g) + * -> Ru*,,-2.78414918822,100
Cu26Pt,Cu(g) + * -> Cu*,,-3.78307967764,111
Cu25Re,Re(g) + * -> Re*,,-7.51250142916,111
Au24Ru3,Ru(g) + * -> Ru*,,-6.12242537524,100
Os2Pd36,Pd(g) + * -> Pd*,,-3.57582695257,211
Pd2Pt24,Pd(g) + * -> Pd*,,-3.54538924966,100
Ag2Au36,Au(g) + * -> Au*,,-2.60085595163,211
PtRh25,Pt(g) + * -> Pt*,,-6.1063272559,100
Os2Pd24,Pd(g) + * -> Pd*,,-4.62871326473,100
Pd3Pt24,Pd(g) + * -> Pd*,,-3.55879214934,100
IrPt25,Pt(g) + * -> Pt*,,-5.67982838782,100
Ir2Pt24,Pt(g) + * -> Pt*,,-4.77720252758,100
CuPd25,Cu(g) + * -> Cu*,,-3.22428851138,100
AgAu25,Ag(g) + * -> Ag*,,-2.38443319389,100
Au24Zn,Zn(g) + * -> Zn*,,-0.713805787258,111
Ag27,Pd(g) + * -> Pd*,,-3.51637619882,111
Rh26,Ir(g) + * -> Ir*,,-7.55333190835,100
AuCu25,Cu(g) + * -> Cu*,,-3.21728851867,111
Rh26,Ir(g) + * -> Ir*,,-6.45113570931,100
Ir25Pd,Ir(g) + * -> Ir*,,-7.52163697142,100
Au26,Ir(g) + * -> Ir*,,-4.69172932218,111
Pt26,Cu(g) + * -> Cu*,,-3.66156424444,111
Ag36Zn,Zn(g) + * -> Zn*,,-0.765645516687,211
Ag26Os,Ag(g) + * -> Ag*,,-2.36146637674,100
Au25,Re(g) + * -> Re*,,-1.65776696592,100
IrRh25,Ir(g) + * -> Ir*,,-6.30613929985,100
Ir24Pd2,Ir(g) + * -> Ir*,,-6.47616099971,100
Au26,Re(g) + * -> Re*,,-3.35841785015,100
Au26,Re(g) + * -> Re*,,-2.42562483619,100
CuIr26,Ir(g) + * -> Ir*,,-6.95124361891,100
Cu2Pt24,Pt(g) + * -> Pt*,,-5.05547581112,100
Ag24Rh,Rh(g) + * -> Rh*,,-2.79947545663,100
Pd24Rh,Rh(g) + * -> Rh*,,-3.70919627734,100
Ag25Os2,Ag(g) + * -> Ag*,,-3.24258326979,111
