,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
0,F.F.S.S,disulfur difluoride,F2S2,102.129,-112,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70FD00>,"{'C': 0, 'N': 0, 'O': 0, 'S': 2}","{'C': 0, 'N': 0, 'O': 0, 'S': 2.0}",0.0,0.0,0.0,2.0
1,SCCS,"ethane-1,2-dithiol; 1,2-ethanedithiol; ethanedithiol",C2H6S2,94.2016,-41.2,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93D3A0>,"{'C': 2, 'N': 0, 'O': 0, 'S': 2}","{'C': 1.0, 'N': 0, 'O': 0, 'S': 1.0}",1.0,0.0,0.0,1.0
2,[S-].[H][N+]([H])([H])[H],,2H4N*2S,100.209,48,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7077C0>,"{'C': 0, 'N': 1, 'O': 0, 'S': 1}","{'C': 0, 'N': 1.0, 'O': 0, 'S': 1.0}",0.0,1.0,0.0,1.0
3,S\C=C\S,"trans-ethene-1,2-dithiol; mercapto-thioacetaldehyde trans-enedithiol tautomer; 1,2-ethylenedithiol",C2H4S2,92.1858,-24,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9399A0>,"{'C': 2, 'N': 0, 'O': 0, 'S': 2}","{'C': 1.0, 'N': 0, 'O': 0, 'S': 1.0}",1.0,0.0,0.0,1.0
4,SC(S)=O,dithiocarbonate; carbonodithioic Acid; mercapto ketone; dithiocarbonic acid,CH2OS2,94.1583,136 - 138,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93D2E0>,"{'C': 1, 'N': 0, 'O': 1, 'S': 2}","{'C': 0.25, 'N': 0, 'O': 0.5, 'S': 1.0}",0.25,0.0,0.5,1.0
5,[H]S[H].CCN,ethylamine; hydrogensulfide; Aethylamin; Hydrogensulfid,C2H7N*H2S,79.1662,55 - 57,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9216A0>,"{'C': 2, 'N': 1, 'O': 0, 'S': 1}","{'C': 1.25, 'N': 0.6666666666666667, 'O': 0, 'S': 1.0}",1.25,0.6666666666666667,0.0,1.0
6,[H].S.[H][N+]([H])([H])[H],ammonium sulfide,H4N*HS,51.1124,118,<rdkit.Chem.rdchem.Mol object at 0x00000203EA911C40>,"{'C': 0, 'N': 1, 'O': 0, 'S': 1}","{'C': 0, 'N': 1.0, 'O': 0, 'S': 1.0}",0.0,1.0,0.0,1.0
7,S.[Cu],copper(II) sulfide; copper sulfide; copper monosulfide,CuS,95.612,204.8,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93F8E0>,"{'C': 0, 'N': 0, 'O': 0, 'S': 1}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
8,[H]S[H].CNC,dimethyl-amine; hydrogensulfide; Dimethyl-amin; Hydrogensulfid,C2H7N*H2S,79.1662,34 - 40,<rdkit.Chem.rdchem.Mol object at 0x00000203EA921700>,"{'C': 2, 'N': 1, 'O': 0, 'S': 1}","{'C': 1.5, 'N': 0.33333333333333337, 'O': 0, 'S': 1.0}",1.5,0.33333333333333337,0.0,1.0
9,[H]S[H].FB(F)F,,BF3*H2S,101.888,-137,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70CCA0>,"{'C': 0, 'N': 0, 'O': 0, 'S': 1}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
10,S=C=C=C=S,propadienedithione; carbon subsulfide; tricarbon disulfide; Propadiendithion; Tricarbondisulfid; Kohlensubsulfid,C3S2,100.165,135,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7073A0>,"{'C': 3, 'N': 0, 'O': 0, 'S': 2}","{'C': 1.5, 'N': 0, 'O': 0, 'S': 1.0}",1.5,0.0,0.0,1.0
11,S,sulfur; sulphur,S,32.066,115.8 - 116,<rdkit.Chem.rdchem.Mol object at 0x00000203EA90F940>,"{'C': 0, 'N': 0, 'O': 0, 'S': 1}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
12,S=C=S,carbon disulfide; Carbon disulphide,CS2,76.143,-108.16,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91F160>,"{'C': 1, 'N': 0, 'O': 0, 'S': 2}","{'C': 0.5, 'N': 0, 'O': 0, 'S': 1.0}",0.5,0.0,0.0,1.0
13,SS,disulfane,H2S2,66.1479,-89.8 - -78,<rdkit.Chem.rdchem.Mol object at 0x00000203EA916940>,"{'C': 0, 'N': 0, 'O': 0, 'S': 2}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
14,SC=S,dithioformic acid; Dithioameisensaeure,CH2S2,78.1589,,<rdkit.Chem.rdchem.Mol object at 0x00000203EA920D00>,"{'C': 1, 'N': 0, 'O': 0, 'S': 2}","{'C': 0.5, 'N': 0, 'O': 0, 'S': 1.0}",0.5,0.0,0.0,1.0
15,[H]S[H],hydrogen sulfide; Hydrogen sulphide,H2S,34.0819,-86,<rdkit.Chem.rdchem.Mol object at 0x00000203EA90FD00>,"{'C': 0, 'N': 0, 'O': 0, 'S': 1}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
16,[Na].[Na].S.[H]O[H],,0H2O*Na2S,94.7998,83.2 - 83.6,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93D8E0>,"{'C': 0, 'N': 0, 'O': 1, 'S': 1}","{'C': 0, 'N': 0, 'O': 1.0, 'S': 1.0}",0.0,0.0,1.0,1.0
17,O.O.O.O.S,sulfur tetroxide,O4S,96.0636,3,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93FE80>,"{'C': 0, 'N': 0, 'O': 4, 'S': 1}","{'C': 0, 'N': 0, 'O': 4.0, 'S': 1.0}",0.0,0.0,4.0,1.0
18,[H]S[H].COC,dimethyl ether ; compound with hydrogen sulfide; Dimethyl-aether; Verbindung mit Schwefelwasserstoff,C2H6O*H2S,80.1509,-148.6,<rdkit.Chem.rdchem.Mol object at 0x00000203EA922940>,"{'C': 2, 'N': 0, 'O': 1, 'S': 1}","{'C': 1.5, 'N': 0, 'O': 0.0, 'S': 1.0}",1.5,0.0,0.0,1.0
19,NC(S)=S,dithiocarbamic acid; Dithiocarbamidsaeure,CH3NS2,93.1735,35.7,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93AD00>,"{'C': 1, 'N': 1, 'O': 0, 'S': 2}","{'C': 0.25, 'N': 0.6666666666666667, 'O': 0, 'S': 1.0}",0.25,0.6666666666666667,0.0,1.0
20,[H]S[H].CCCN,propylamine; hydrogensulfide; Propylamin; Hydrogensulfid,C3H9N*H2S,93.193,38 - 42,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93ADC0>,"{'C': 3, 'N': 1, 'O': 0, 'S': 1}","{'C': 1.75, 'N': 0.6666666666666667, 'O': 0, 'S': 1.0}",1.75,0.6666666666666667,0.0,1.0
21,CN.[H]S[H],methylamine; hydrogensulfide; Methylamin; Hydrogensulfid,CH5N*H2S,65.1393,40 - 44,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9164C0>,"{'C': 1, 'N': 1, 'O': 0, 'S': 1}","{'C': 0.75, 'N': 0.6666666666666667, 'O': 0, 'S': 1.0}",0.75,0.6666666666666667,0.0,1.0
22,SSS,hydrogen trisulfide; trisulfane; cis-HSSSH; trisulfide,H2S3,98.2139,52 - 53,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FBCA0>,"{'C': 0, 'N': 0, 'O': 0, 'S': 3}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
23,[H].[Na].S,sodium hydrogen sulfide; sodium hydrosulfide; sodium hydrosulphide; sodium hydrogen sulphide; NaSH; sodium hydrosulfite,HNaS,56.0637,43,<rdkit.Chem.rdchem.Mol object at 0x00000203EA912400>,"{'C': 0, 'N': 0, 'O': 0, 'S': 1}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
24,SB=S,thiometaboric acid,BHS2,75.9509,120 - 140,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91E160>,"{'C': 0, 'N': 0, 'O': 0, 'S': 2}","{'C': 0, 'N': 0, 'O': 0, 'S': 1.0}",0.0,0.0,0.0,1.0
25,[H]S[H].CN(C)C,trimethyl-amine; hydrogensulfide; Trimethyl-amin; Hydrogensulfid,C3H9N*H2S,93.193,15 - 20,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93AD60>,"{'C': 3, 'N': 1, 'O': 0, 'S': 1}","{'C': 2.25, 'N': 0.0, 'O': 0, 'S': 1.0}",2.25,0.0,0.0,1.0
